,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
127,4,64-bit,True,Radeon R7 (on-die),"2 x 96 kB Instruction, 4 x 32 kB Data",2 x 1 MB,None,28 nm,AMD,,,3.5 GHz,AD9700AGABBOX,False,,AM4,65 W,3.8 GHz
128,6,64-bit,True,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,32 nm,Intel,,Core i7 Extreme i7-980X,3.33 GHz,BX80613I7980X,True,Hyper-Threading,LGA1366,130 W,
129,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-870,2.93 GHz,BV80605001905AI,True,Hyper-Threading,LGA1156,95 W,
130,2,64-bit,True,Intel HD Graphics 530,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,Core i3-6320,3.9 GHz,BX80662I36320,True,Hyper-Threading,LGA1151,51 W,
131,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 1 MB,1 x 13.75 MB,14 nm,Intel,128 GB,,3.3 GHz,CD8067303286804,True,Hyper-Threading,LGA2066,140 W,4.5 GHz
132,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,Core i5-6400,2.7 GHz,CM8066201920506,False,,LGA1151,65 W,3.3 GHz
133,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,32 nm,Intel,,Core i5-655K,3.2 GHz,BX80616I5655K,True,Hyper-Threading,LGA1156,73 W,
134,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 3 MB,None,45 nm,Intel,,Core 2 Quad Q9300,2.5 GHz,BX80580Q9300,False,,LGA775,95 W,
135,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 1 MB,None,65 nm,Intel,,Pentium E2180,2 GHz,BX80557E2180,False,,LGA775,65 W,
136,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I58600K,False,,LGA1151,95 W,4.3 GHz
137,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",1214 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,,3.1 GHz,BX80673I97940X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
138,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-4790T,2.7 GHz,CM8064601561513,True,Hyper-Threading,LGA1150,45 W,
139,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Core i7-2600S,2.8 GHz,BX80623I72600S,True,Hyper-Threading,LGA1155,65 W,
140,18,64-bit,False,False,"18 x 32 kB Instruction, 18 x 32 kB Data",18 x 256 kB,1 x 45 MB,14 nm,Intel,1.5 TB,Xeon E5-2697 V4,2.3 GHz,BX80660E52697V4,True,Hyper-Threading,LGA2011-3,145 W,3.6 GHz
141,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6420,2.13 GHz,BX80557E6420,False,,LGA775,65 W,
142,6,64-bit,True,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,2.8 GHz,BX80684I58400,False,,LGA1151,65 W,4 GHz
143,16,64-bit,False,False,"16 x 32 kB Instruction, 16 x 32 kB Data",16 x 1 MB,1 x 22 MB,14 nm,Intel,128 GB,,2.8 GHz,CD8067303734802,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
144,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14 nm,Intel,,,3.6 GHz,CM8067102056100,True,Hyper-Threading,LGA2011-3,140 W,3.8 GHz
145,4,64-bit,False,Radeon R7 (on-die),"2 x 96 kB Instruction, 4 x 16 kB Data",2 x 2 MB,None,28 nm,AMD,,A10-7890K,4.1 GHz,AD789KXDI44JC,False,,FM2+,95 W,4.3 GHz
146,2,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",1 x 6 MB,None,45 nm,Intel,,Core 2 Duo E8500,3.16 GHz,BX80570E8500,False,,LGA775,65 W,
147,2,64-bit,True,Radeon R5 (on die),"1 x 96 kB Instruction, 2 x 32 kB Data",1 x 1 MB,None,28 nm,AMD,,,3.5 GHz,AD9500AGABBOX,False,,AM4,65 W,3.8 GHz
148,4,64-bit,True,False,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 8 MB,14 nm,AMD,,,3.5 GHz,YD130XBBAEBOX,False,,AM4,65 W,3.7 GHz
149,16,64-bit,False,False,"16 x 32 kB Instruction, 16 x 32 kB Data",16 x 1 MB,1 x 22 MB,14 nm,Intel,128 GB,Intel Intel Core i9-9960X 16-Core 3.1 GHz LGA 2066 165W CD8067304126500 Desktop Processor - OEM,3.1 GHz,CD8067304126500,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
150,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2630 V2,2.6 GHz,BX80635E52630V2,True,Hyper-Threading,LGA2011,80 W,3.1 GHz
151,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32 nm,Intel,,Xeon E5-2620,2 GHz,BX80621E52620,True,Hyper-Threading,LGA2011,95 W,
152,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-920,2.66 GHz,AT80601000741AA,True,Hyper-Threading,LGA1366,130 W,
153,4,64-bit,True,Intel HD Graphics,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Xeon E3-1235,3.2 GHz,BX80623E31235,True,Hyper-Threading,LGA1155,95 W,
154,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-4570,3.2 GHz,BX80646I54570,False,,LGA1150,84 W,
155,2,64-bit,True,Radeon HD 6410D,"2 x 64 kB Instruction, 2 x 64 kB Data",2 x 512 kB,None,32 nm,AMD,,A4-3300,2.5 GHz,AD3300OJHXBOX / AD3300OJGXBOX,False,,FM1,65 W,
156,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,6 x 1.5 MB,14 nm,Intel,64 GB,,3.7 GHz,CM8068403874404,False,,LGA1151,95 W,4.6 GHz
157,4,64-bit,False,Radeon Vega 11,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 4 MB,14 nm,AMD,,,3.6 GHz,YD2400C5M4MFB,True,,AM4,65 W,3.9 GHz
158,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,45 nm,Intel,,Pentium E6300,2.8 GHz,BX80571E6300,False,,LGA775,65 W,
159,6,64-bit,True,False,"3 x 64 kB Instruction, 6 x 16 kB Data",3 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-6300,3.5 GHz,FD6300WMHKBOX,False,,AM3+,95 W,
160,4,64-bit,True,Radeon R7 (on-die),"2 x 96 kB Instruction, 4 x 16 kB Data",2 x 2 MB,None,28 nm,AMD,,A8-7650K,3.3 GHz,AD765KXBJABOX,False,,FM2+,95 W,3.7 GHz
161,4,64-bit,False,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,,2.7 GHz,CM8063701159804,False,,LGA1150,65 W,3.2 GHz
162,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 1 MB,1 x 16.5 MB,14 nm,Intel,128 GB,,2.9 GHz,CD8067303753300,True,Hyper-Threading,LGA2066,140 W,4.4 GHz
163,4,64-bit,True,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3 GHz,BX80677I57400,False,,LGA1151,65 W,3.5 GHz
164,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 10 MB,14 nm,Intel,1.5 TB,Xeon E5-1620 V4,3.5 GHz,BX80660E51620V4,True,Hyper-Threading,LGA2011-3,140 W,3.8 GHz
165,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32 nm,Intel,,Core i7 Extreme i7-3960X,3.3 GHz,BX80619i73960X,True,Hyper-Threading,LGA2011,130 W,
166,8,64-bit,True,False,"8 x 64 kB Instruction, 8 x 32 kB Data",8 x 512 kB,2 x 8 MB,14 nm,AMD,,,3 GHz,YD1700BBAEBOX,True,,AM4,65 W,3.7 GHz
167,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2687W V3,3.1 GHz,BX80644E52687V3,True,Hyper-Threading,LGA2011-3,160 W,3.5 GHz
168,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Xeon E3-1230 V2,3.3 GHz,CM8063701098101,True,Hyper-Threading,LGA1155,69 W,
169,2,64-bit,True,Intel HD Graphics 4400,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-4130,3.4 GHz,BX80646I34130,True,Hyper-Threading,LGA1150,54 W,
170,4,64-bit,False,Intel HD Graphics 530,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Core i7-6700K,4 GHz,BX80662I76700K,True,Hyper-Threading,LGA1151,91 W,4.2 GHz
171,8,64-bit,True,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-8370,4 GHz,FD8370FRHKHBX,False,,AM3+,125 W,4.3 GHz
172,4,64-bit,True,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.4 GHz,BX80677I57500,False,,LGA1151,65 W,3.8 GHz
173,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2620 V3,2.4 GHz,CM8064401831400,True,Hyper-Threading,LGA2011-3,85 W,3.2 GHz
174,2,64-bit,True,Radeon R5 (on die),"1 x 96 kB Instruction, 2 x 16 kB Data",1 x 1 MB,None,28 nm,AMD,,A6-7400K,3.5 GHz,AD740KYBJABOX,False,,FM2+,65 W,3.9 GHz
175,6,64-bit,True,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,Intel Core i5-8600 Coffee Lake 6-Core 3.1 GHz (4.3 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I58600 Desktop Processor Intel UHD Graphics 630,3.1 GHz,BX80684I58600,False,,LGA1151,65 W,4.3 GHz
176,6,64-bit,True,False,"6 x 64 kB Instruction, 6 x 32 kB Data",6 x 512 kB,2 x 8 MB,14 nm,AMD,,,3.2 GHz,YD1600BBAEBOX,True,,AM4,65 W,3.6 GHz
177,2,64-bit,True,Radeon Vega 3,"2 x 64 kB Instruction, 2 x 32 kB Data",2 x 512 kB,1 x 4 MB,14 nm,AMD,,,3.2 GHz,YD200GC6FBBOX,True,,AM4,35 W,
178,4,64-bit,True,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-3450,3.1 GHz,BX80637I53450 / BX806237I53450,False,,LGA1155,77 W,
179,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2690 V2,3 GHz,BX80635E52690V2,True,Hyper-Threading,LGA2011,130 W,3.6 GHz
180,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22 nm,Intel,,Xeon E5-2697 V3,2.6 GHz,CM8064401807100,True,Hyper-Threading,LGA2011-3,145 W,3.6 GHz
181,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.6 GHz,CM8067702868314,True,Hyper-Threading,LGA1151,65 W,4.2 GHz
182,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7 Extreme i7-975,3.33 GHz,BX80601975,True,Hyper-Threading,LGA1366,130 W,
183,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2680 V2,2.8 GHz,BX80635E52680V2,True,Hyper-Threading,LGA2011,115 W,3.6 GHz
184,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,6 x 1.5 MB,14 nm,Intel,64 GB,,3.7 GHz,BX80684I59600K,False,,LGA1151,95 W,4.6 GHz
185,4,64-bit,True,Radeon R7 (on-die),"2 x 96 kB Instruction, 4 x 16 kB Data",2 x 2 MB,None,28 nm,AMD,,AMD A8-7650K,3.3 GHz,AD765KXBJASBX,False,,FM2+,95 W,3.7 GHz
186,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i5-750,2.66 GHz,BX80605I5750,False,,LGA1156,95 W,
187,8,64-bit,False,False,"8 x 64 kB Instruction, 8 x 32 kB Data",8 x 512 kB,2 x 8 MB,14 nm,AMD,,,3.4 GHz,YD170XBCAEWOF,True,,AM4,95 W,3.8 GHz
188,8,64-bit,False,False,"8 x 64 kB Instruction, 8 x 32 kB Data",8 x 512 kB,2 x 8 MB,14 nm,AMD,,,3.6 GHz,YD180XBCAEWOF,True,,AM4,95 W,4 GHz
189,2,64-bit,True,Intel HD Graphics 2000,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32 nm,Intel,,Core i3-2130,3.4 GHz,BX80623I32130,True,Hyper-Threading,LGA1155,65 W,
190,4,64-bit,False,Intel HD Graphics P630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.3 GHz,CM8067702871024,False,,LGA1151,73 W,3.7 GHz
191,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-940,2.93 GHz,BX80601940,True,Hyper-Threading,LGA1366,130 W,
192,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,14 nm,Intel,1.5 TB,Xeon E5-2640 V4,2.4 GHz,BX80660E52640V4,True,Hyper-Threading,LGA2011-3,90 W,3.4 GHz
193,4,64-bit,True,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,2.9 GHz,BX80677I77700T,True,Hyper-Threading,LGA1151,35 W,3.8 GHz
194,8,64-bit,True,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-8350,4 GHz,FD8350FRHKBOX,False,,AM3+,125 W,
195,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,,3.5 GHz,BX80673I99900X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
196,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 256 kB,1 x 6 MB,32 nm,Intel,,Core i5-2500,3.3 GHz,BX80623I52500,False,,LGA1155,95 W,
197,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Duo E6700,2.66 GHz,HH80557PH0674M,False,,LGA775,65 W,
198,4,64-bit,True,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,2.8 GHz,BX80677I57600T,False,,LGA1151,35 W,3.7 GHz
199,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.4 GHz,CM8067702868012,False,,LGA1151,65 W,3.8 GHz
200,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.5 GHz,CM8067702868011,False,,LGA1151,65 W,4.1 GHz
201,18,64-bit,False,False,"18 x 32 kB Instruction, 18 x 32 kB Data",18 x 1 MB,1 x 24.75 kB,14 nm,Intel,128 GB,Intel Core i9-9980XE Skylake X 18-Core 3.0 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99980X Desktop Processor,3 GHz,BX80673I99980X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
202,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 1 MB,1 x 11 MB,14 nm,Intel,128 GB,,3.6 GHz,BX80673I77820X,True,Hyper-Threading,LGA2066,140 W,4.5 GHz
203,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",1214 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,,3.1 GHz,CD8067303734701,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
204,4,64-bit,False,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,None,45 nm,AMD,,Athlon II X4 635,2.9 GHz,ADX635WFK42GM,False,,AM3,95 W,
205,2,64-bit,True,Intel HD Graphics 4600,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22 nm,Intel,,Core i5-4570T,2.9 GHz,BX80646I54570T,True,Hyper-Threading,LGA1150,35 W,
206,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 4 MB,None,65 nm,Intel,,Core 2 Quad Q6600,2.4 GHz,BX80562Q6600,False,,LGA775,100 W,
207,6,64-bit,True,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,2.9 GHz,BX80684I59400F,False,,LGA1151,65 W,4.1 GHz
208,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Xeon E3-1220,3.1 GHz,BX80623E31220,False,,LGA1155,80 W,
209,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22 nm,Intel,,Xeon E5-2697 V2,2.7 GHz,BX80635E52697V2,True,Hyper-Threading,LGA2011,130 W,3.5 GHz
210,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Core i7-2600,3.4 GHz,BX80623I72600,True,Hyper-Threading,LGA1155,95 W,
211,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Pentium G3258,3.2 GHz,BX80646G3258,False,,LGA1150,53 W,
212,2,64-bit,True,Intel HD Graphics,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,32 nm,Intel,,Core i5-650,3.2 GHz,BX80616I5650,True,Hyper-Threading,LGA1156,73 W,
213,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 1 MB,1 x 16.5 MB,14 nm,Intel,128 GB,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz (4.1 GHz Turbo) LGA 2066 165W BX80673I99820X Desktop Processor,3.3 GHz,BX80673I99820X,True,Hyper-Threading,LGA2066,165 W,4.1 GHz
214,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2660 V3,2.6 GHz,CM8064401446117,True,Hyper-Threading,LGA2011-3,105 W,3.3 GHz
215,2,64-bit,False,Radeon HD 7480D,"1 x 64 kB Instruction, 2 x 16 kB Data",1 x 1 MB,None,32 nm,AMD,,A4-4000,3 GHz,AD4000OKA23HL,False,,FM2,65 W,
216,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-870,2.93 GHz,BX80605I7870,True,Hyper-Threading,LGA1156,95 W,
217,6,64-bit,False,False,"6 x 64 kB Instruction, 6 x 32 kB Data",6 x 512 kB,2 x 8 MB,14 nm,AMD,,,3.6 GHz,YD160XBCAEWOF,True,,AM4,95 W,4 GHz
218,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 1 MB,1 x 16.5 MB,14 nm,Intel,128 GB,,2.9 GHz,BX80673I97920X,True,Hyper-Threading,LGA2066,140 W,4.4 GHz
219,4,64-bit,True,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.5 GHz,BX80677I57600,False,,LGA1151,65 W,4.1 GHz
220,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2630L V2,2.4 GHz,CM8063501376200,True,Hyper-Threading,LGA2011,60 W,
221,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 4 MB,None,65 nm,Intel,,Core 2 Extreme X6800,2.93 GHz,BX80557X6800,False,,LGA775,75 W,
222,4,64-bit,False,Intel UHD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.7 GHz,CM8068403377111,False,,LGA1151,62 W,
223,2,64-bit,False,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,65 nm,Intel,,Core 2 Duo E4400,2 GHz,HH80557PG0412M,False,,LGA775,65 W,
224,2,64-bit,True,Radeon R5 (on die),"1 x 96 kB Instruction, 2 x 32 kB Data",1 x 1 MB,None,28 nm,AMD,,,3 GHz,AD9500AHABBOX,False,,AM4,35 W,3.4 GHz
225,18,64-bit,False,False,"18 x 32 kB Instruction, 18 x 32 kB Data",18 x 256 kB,1 x 45 MB,14 nm,Intel,1.5 TB,Xeon E5-2695 V4,2.1 GHz,BX80660E52695V4,True,Hyper-Threading,LGA2011-3,120 W,3.3 GHz
226,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22 nm,Intel,,Xeon E5-2697 V3,2.6 GHz,BX80644E52697V3,True,Hyper-Threading,LGA2011-3,145 W,3.6 GHz
227,2,64-bit,True,Intel HD Graphics 4400,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-4150,3.5 GHz,BX80646I34150,True,Hyper-Threading,LGA1150,54 W,
228,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 10 MB,22 nm,Intel,,Xeon E5-2603 V2,1.8 GHz,CM8063501375902,False,,LGA2011,80 W,
229,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,Xeon E3-1240 V5,3.5 GHz,CM8066201921715,True,Hyper-Threading,LGA1151,80 W,3.9 GHz
230,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22 nm,Intel,384 GB,Intel Xeon E5-2470 v2,2.4 GHz,BX80634E52470V2,True,Hyper-Threading,LGA1356,95 W,3.2 GHz
231,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3.8 GHz,CM8067702868219,False,,LGA1151,91 W,4.2 GHz
232,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3 GHz,BX80677E31220V6,False,,LGA1151,72 W,3.5 GHz
233,8,64-bit,False,Intel UHD Graphics 630,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,8 x 2 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I99900K,True,Hyper-Threading,LGA1151,95 W,5 GHz
234,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32 nm,Intel,,Xeon E5-2640,2.5 GHz,BX80621E52640,True,Hyper-Threading,LGA2011,95 W,3 GHz
235,2,64-bit,False,False,"2 x 64 kB Instruction, 2 x 64 kB Data",2 x 512 kB,None,45 nm,AMD,,Athlon II X2 220,2.8 GHz,ADX220OCK22GM,False,,AM3,65 W,
236,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 236 kB,1 x 20 MB,14 nm,Intel,1.5 TB,,3.4 GHz,CM8066002041500,True,Hyper-Threading,LGA2011-3,135 W,3.7 GHz
237,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 3 MB,None,45 nm,Intel,,Core 2 Duo E7600,3.06 GHz,BX80571E7600,False,,LGA775,65 W,
238,8,64-bit,True,False,"4 x 64 kB Instruction, 8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32 nm,AMD,,FX-8320,3.5 GHz,FD8320FRHKBOX,False,,AM3+,125 W,
239,2,64-bit,False,Intel HD Graphics 630,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14 nm,Intel,64 GB,,4.2 GHz,BX80677I37350K,True,Hyper-Threading,LGA1151,60 W,
240,2,64-bit,True,Intel UHD Graphics 610,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14 nm,Intel,64 GB,Intel Celeron G4920 Coffee Lake Dual-Core 3.2 GHz LGA 1151 (300 Series) 54W BX80684G4920 Desktop Processor Intel UHD Graphics 610,3.2 GHz,BX80684G4920,False,,LGA1151,65 W,
241,4,64-bit,True,Intel HD Graphics,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32 nm,Intel,,Xeon E3-1245,3.3 GHz,BX80623E31245,True,Hyper-Threading,LGA1155,95 W,
